firstname,lastname,ssn,mciid,county,dobyy,dobmm,dobdd,suffix,referralid,referraltype,dob,dt_referral,true_entity_id,bin1,bin2
JOSEPH,BROWN,317234855.0,1002.0,1,1982.0,12.0,7.0,,V645701,CPS,1982-12-07,2020-01-08,1,1,1
PATRICIA,SMITH,360993641.0,1074.0,49,1996.0,7.0,1.0,,D000073,CPS,1996-07-01,2022-05-27,73,0,0
YONG,TERRY,877571645.0,1107.0,60,1986.0,7.0,18.0,,V269823,GPS,1986-07-18,2020-01-05,106,1,0
RONALD,FREEMAN,201670529.0,1156.0,57,1996.0,12.0,5.0,,D000155,CPS,1996-12-05,2021-04-21,155,0,0
SAMANTHA,JOHNSON,545290875.0,1105.0,63,1977.0,7.0,24.0,,D000104,CPS,1977-07-24,2021-01-13,104,1,1
SAMMY,WOOD,510226362.0,1299.0,9,1961.0,11.0,24.0,,V683661,GPS,1961-11-24,2019-10-13,298,0,1
CATHERINE,MEYER,244012417.0,1257.0,38,1985.0,4.0,10.0,,V663166,CPS,1985-04-10,2019-11-02,256,1,1
JAMES,MARTINEZ,527951825.0,1125.0,64,1976.0,8.0,11.0,,D000124,CPS,1976-08-11,2019-06-09,124,0,1
JAMES,GARCIA,454713199.0,1069.0,64,1998.0,4.0,5.0,,D000068,GPS,1998-04-05,2018-07-19,68,1,1
LISRA,SHARMA,306116428.0,1090.0,9,1976.0,6.0,22.0,,V600002,GPS,1976-06-22,2019-08-16,89,1,0
YONG,STEWART,605340454.0,1010.0,60,1972.0,11.0,2.0,,D000009,CPS,1972-11-02,2020-12-19,9,0,0
WEI,WANG,338489340.0,1195.0,19,1972.0,3.0,17.0,,D000194,CPS,1972-03-17,2022-06-04,194,0,1
JYOCE,WEBB,179894979.0,1280.0,9,1973.0,6.0,2.0,,V333818,GPS,1973-06-02,2021-03-10,279,1,1
JAMES,SMITH,399784744.0,1085.0,31,2000.0,11.0,1.0,,D000084,GPS,2000-11-01,2021-04-06,84,0,0
DON,SMITH,804664116.0,1285.0,2,1970.0,1.0,27.0,,V456370,CPS,1970-01-27,2019-04-15,284,0,1
