firstname,lastname,ssn,mciid,county,dobyy,dobmm,dobdd,suffix,referralid,referraltype,dob,dt_referral,true_entity_id,bin1,bin2
ELIZABETH,TURNER,354248942.0,1001.0,28,1983.0,8.0,11.0,,A000000,GPS,1983-08-11,2019-10-21,0,1,0
WILLIAM,MARTIN,709282478.0,1002.0,17,2004.0,12.0,6.0,,A000001,CPS,2004-12-06,2021-11-05,1,0,1
PAUL,BRADLEY,760384142.0,1003.0,26,1980.0,12.0,28.0,,A000002,GPS,1980-12-28,2020-08-15,2,0,0
EMMA,CAMPBELL,771238490.0,1004.0,29,2000.0,3.0,6.0,,A000003,CPS,2000-03-06,2018-08-22,3,1,1
ROBERT,HENRY,114359940.0,1005.0,50,2002.0,1.0,25.0,,A000004,GPS,2002-01-25,2022-12-04,4,0,1
EMILY,CHEN,530965533.0,1006.0,17,1964.0,11.0,3.0,,A000005,CPS,1964-11-03,2021-10-26,5,0,0
MARGARET,POTTER,921837054.0,1007.0,3,1968.0,2.0,15.0,,A000006,GPS,1968-02-15,2018-03-06,6,0,1
MICHELLE,DUNN,482539646.0,1008.0,4,1972.0,4.0,14.0,,A000007,CPS,1972-04-14,2019-08-03,7,1,1
JENNIFER,GARRETT,768687894.0,1009.0,50,1974.0,10.0,20.0,,A000008,GPS,1974-10-20,2022-11-13,8,1,0
JAMES,BURNS,265522198.0,1010.0,60,1987.0,4.0,28.0,1.0,A000009,CPS,1987-04-28,2019-07-23,9,0,0
PATRICIA,WEAVER,145059004.0,1011.0,41,2002.0,2.0,1.0,,A000010,CPS,2002-02-01,2021-08-27,10,0,1
TERRY,SMITH,501912186.0,1012.0,64,1981.0,4.0,2.0,,A000011,CPS,1981-04-02,2022-08-04,11,0,1
JACQUELINE,SMITH,547688762.0,1013.0,65,2001.0,5.0,11.0,,A000012,GPS,2001-05-11,2020-01-02,12,1,0
JAMES,GARCIA,327307712.0,1014.0,13,1998.0,11.0,6.0,1.0,A000013,CPS,1998-11-06,2020-01-07,13,1,0
SUSAN,WEAVER,147050504.0,1015.0,53,1988.0,12.0,22.0,,A000014,GPS,1988-12-22,2018-11-24,14,0,1
VICTORIA,HUGHES,582317107.0,1016.0,9,1987.0,9.0,11.0,,A000015,CPS,1987-09-11,2021-10-01,15,0,0
MARTIN,WILLIAMS,309332995.0,1017.0,36,1966.0,8.0,10.0,,A000016,CPS,1966-08-10,2018-06-24,16,1,1
ASHLEY,KIM,776571040.0,1018.0,19,1994.0,11.0,18.0,,A000017,CPS,1994-11-18,2022-07-11,17,0,1
LINDA,KIM,190119037.0,1019.0,38,1999.0,5.0,13.0,,A000018,CPS,1999-05-13,2020-03-10,18,1,1
JOSHUA,DIAZ,227685835.0,1020.0,64,1980.0,4.0,13.0,,A000019,CPS,1980-04-13,2022-09-02,19,1,1
CARL,WILLIAMS,600386222.0,1021.0,20,1983.0,9.0,12.0,,A000020,CPS,1983-09-12,2019-06-09,20,0,1
ROBERT,FERNANDEZ,771287712.0,1022.0,40,1975.0,7.0,2.0,,A000021,CPS,1975-07-02,2019-02-28,21,1,1
ROBERT,HARRISON,468722900.0,1023.0,26,1990.0,2.0,11.0,,A000022,CPS,1990-02-11,2022-09-01,22,1,0
BETTY,JOHNSON,922342892.0,1024.0,42,1978.0,6.0,5.0,,A000023,CPS,1978-06-05,2020-02-23,23,1,1
MARY,SMITH,714533410.0,1025.0,13,1963.0,2.0,27.0,,A000024,GPS,1963-02-27,2019-03-26,24,1,0
DEBRA,TORRES,211463739.0,1026.0,31,2002.0,8.0,11.0,,A000025,GPS,2002-08-11,2018-06-04,25,0,1
SARAH,BROWN,853030140.0,1027.0,26,1990.0,11.0,1.0,,A000026,GPS,1990-11-01,2021-07-07,26,0,1
JERRY,JOHNSON,572374593.0,1028.0,19,1984.0,3.0,18.0,,A000027,CPS,1984-03-18,2019-08-26,27,1,0
TERESA,MILLER,803085645.0,1029.0,9,1962.0,8.0,14.0,,A000028,CPS,1962-08-14,2021-08-19,28,0,1
JEFFREY,HERNANDEZ,431555990.0,1030.0,18,2003.0,10.0,7.0,,A000029,CPS,2003-10-07,2019-06-02,29,1,1
JENNIFER,SMITH,917233336.0,1031.0,39,2001.0,8.0,2.0,,A000030,CPS,2001-08-02,2022-01-21,30,0,0
NANCY,HOWE,310686205.0,1032.0,34,1965.0,10.0,15.0,,A000031,CPS,1965-10-15,2022-08-10,31,0,1
