firstname,lastname,ssn,mciid,county,dobyy,dobmm,dobdd,suffix,referralid,referraltype,dob,dt_referral
MARY,LEWIS,,76791.0,51,1997.0,6.0,15.0,,B075721,CPS,1997-06-15,2021-02-05
LINDA,SMITH,646201458.0,27607.0,49,2002.0,3.0,14.0,,B080184,CPS,2002-03-14,2022-02-01
LAURA,MEDINKA,291694330.0,53864.0,40,1998.0,6.0,19.0,,B019864,GPS,1998-06-19,2020-08-16
JONES,MARY,768774973.0,21442.0,24,1987.0,11.0,28.0,,B076699,GPS,1987-11-28,2020-07-13
JOYCE,THOMPSON,713265213.0,8992.0,61,2002.0,9.0,1.0,,U007991,GPS,2002-09-01,2021-07-01
ROBERT,KENNEDY,853217467.0,27508.0,42,2003.0,12.0,28.0,,B076434,CPS,2003-12-28,2019-01-28
PATRICIA,SANDERS,261566981.0,74095.0,41,1990.0,7.0,17.0,,B084004,GPS,1990-07-17,2022-07-03
JAMES,MOORE,898781081.0,44568.0,6,1991.0,1.0,24.0,,B080917,GPS,1991-01-24,2018-08-18
XOHN,WARREN,624302255.0,72620.0,23,1965.0,5.0,15.0,,B060767,GPS,1965-05-15,2020-11-15
JACM,LOPEZ,375092185.0,90925.0,28,1998.0,1.0,15.0,,B050074,GPS,1998-01-15,2018-03-17
ELIZABHETH,MORENO,547356197.0,94433.0,27,1970.0,1.0,19.0,2.0,B027701,CPS,1970-01-19,2021-08-15
SMITH,VINCENT,597953660.0,53591.0,44,1986.0,8.0,25.0,,B042141,CPS,1986-08-25,2020-04-05
THOMAS,LINDA,375835231.0,22354.0,44,1993.0,2.0,2.0,,B045080,GPS,1993-02-02,2019-11-07
SANDRA,CLARK,768741869.0,83215.0,9,1982.0,6.0,9.0,,B016638,CPS,1982-06-09,2019-11-08
KELLY,BOYD,191272652.0,81922.0,29,2002.0,6.0,4.0,,B020424,GPS,2002-06-04,2021-01-28
DANIEL,HARDY,662590583.0,4703.0,40,1998.0,11.0,26.0,,U003702,GPS,1998-11-26,2018-07-01
TSEVEN,DAVIS,655047074.0,20992.0,34,1969.0,6.0,12.0,,B000149,CPS,1969-06-12,2020-06-24
WAYNE,ACRUZ,380000469.0,23721.0,34,1985.0,3.0,12.0,,B001761,CPS,1985-03-12,2018-07-18
PATRICIA,JOENS,334183095.0,63617.0,56,1984.0,9.0,25.0,,B063120,CPS,1984-09-25,2020-07-13
EMILY,NORRIS,289345103.0,71484.0,40,1965.0,2.0,8.0,,B069161,CPS,1965-02-08,2021-08-05
RBEECCA,WALKER,342263982.0,87509.0,39,1998.0,9.0,12.0,,B064883,CPS,1998-09-12,2021-10-10
JENNIFER,GRENE,865424039.0,13429.0,22,1964.0,10.0,3.0,,B002495,GPS,1964-10-03,2021-04-01
JAMES,HOWARD,274043279.0,42022.0,8,1993.0,1.0,6.0,,B080296,GPS,1993-01-06,2021-05-22
PATRICIA,CARLSON,169684332.0,,48,1979.0,4.0,20.0,,B019447,GPS,1979-04-20,2021-08-07
DAVID,MENDOZA,812330928.0,,60,1973.0,8.0,3.0,,B041331,CPS,1973-08-03,2019-06-17
HARLD,GONZALEZ,306854709.0,65546.0,22,1970.0,7.0,10.0,,B014888,GPS,1970-07-10,2021-10-26
ADAM,POWELL,114044779.0,4637.0,23,1999.0,3.0,21.0,,U003636,GPS,1999-03-21,2019-03-09
JERRY,ROSS,993561278.0,10893.0,40,2003.0,6.0,16.0,,U009892,GPS,2003-06-16,2018-11-16
